year,period,month_name,value,footnotes
2018,M10,October,4.0,
2018,M11,November,3.9,
2018,M12,December,3.9,
2019,M01,January,3.9,
2019,M02,February,3.8,
2019,M03,March,3.8,
2019,M04,April,4.0,
2019,M05,May,3.8,
2019,M06,June,3.8,
2019,M07,July,3.9,
2019,M08,August,3.9,
2019,M09,September,3.9,
2019,M10,October,3.8,
2019,M11,November,3.9,
2019,M12,December,3.9,
2020,M01,January,3.9,
2020,M02,February,3.9,
2020,M03,March,3.4,
2020,M04,April,3.1,
2020,M05,May,6.1,
2020,M06,June,5.4,
2020,M07,July,4.5,
2020,M08,August,4.3,
2020,M09,September,4.2,
2020,M10,October,4.3,
2020,M11,November,4.1,
2020,M12,December,3.9,
2021,M01,January,3.9,
2021,M02,February,4.1,
2021,M03,March,4.3,
2021,M04,April,4.2,
2021,M05,May,4.1,
2021,M06,June,4.5,
2021,M07,July,4.6,
2021,M08,August,4.3,
2021,M09,September,4.5,
2021,M10,October,4.5,
2021,M11,November,4.6,
2021,M12,December,4.5,
2022,M01,January,4.3,
2022,M02,February,4.5,
2022,M03,March,4.4,
2022,M04,April,4.3,
2022,M05,May,4.2,
2022,M06,June,4.3,
2022,M07,July,4.2,
2022,M08,August,4.2,
2022,M09,September,4.0,
2022,M10,October,4.0,
2022,M11,November,4.0,
2022,M12,December,4.0,
2023,M01,January,4.1,
2023,M02,February,3.9,
2023,M03,March,3.8,
2023,M04,April,3.8,
2023,M05,May,3.9,
2023,M06,June,3.8,
2023,M07,July,3.6,
2023,M08,August,3.7,
2023,M09,September,3.7,
2023,M10,October,3.7,
2023,M11,November,3.5,
2023,M12,December,3.6,
2024,M01,January,3.6,
2024,M02,February,3.6,
2024,M03,March,3.5,
2024,M04,April,3.5,
2024,M05,May,3.5,
2024,M06,June,3.3,
2024,M07,July,3.4,
2024,M08,August,3.3,
2024,M09,September,3.4,
2024,M10,October,3.3,
2024,M11,November,3.3,
2024,M12,December,3.3,
2025,M01,January,3.3,
2025,M02,February,3.3,
2025,M03,March,3.4,
2025,M04,April,3.4,
2025,M05,May,3.4,
2025,M06,June,3.4,
2025,M07,July,3.3,
2025,M08,August,3.2,
2025,M09,September,3.3,
2025,M10,October,3.3,
2025,M11,November,3.2,
2025,M12,December,3.3,
2026,M01,January,3.4,
2026,M02,February,3.1,preliminary
